put_avg,put_avg_expanding,rolling_avg_5,rolling_sr_5,venue_avg,venue_overall_avg,pvp_avg,career_avg,career_sr,career_matches,ball,is_boundary,is_six,is_four,target_runs,target_sr
13.5,8.5,10.0,100.0,10.0,19.321590909090908,3.8888888888888893,20.875,109.9048,0,10,1,1,0,3.0,100.0
15.0,18.333333333333332,6.5,100.0,19.5,20.09861111111111,3.25,10.0,100.0,1,3,0,0,0,8.0,100.0
12.333333333333334,13.0,7.0,100.0,8.454545454545455,19.61134163208852,2.0,6.5,100.0,2,8,1,0,1,10.0,250.0
12.333333333333334,12.333333333333334,7.75,137.5,8.454545454545455,19.61134163208852,4.0,7.0,100.0,3,4,2,0,2,4.0,80.0
11.0,12.333333333333334,7.0,126.0,8.454545454545455,19.61134163208852,18.0,7.75,137.5,4,5,0,0,0,7.0,175.0
13.0,13.5,6.4,141.0,8.454545454545455,19.61134163208852,2.75,7.0,126.0,5,4,1,0,1,14.0,116.67
11.0,4.0,8.6,144.334,8.454545454545455,19.61134163208852,6.0,7.0,134.16666666666666,6,12,1,1,0,3.0,75.0
11.0,9.0,7.6,139.334,17.5,19.843718079673135,6.5,8.0,131.66714285714286,7,4,0,0,0,16.0,177.78
12.0,15.0,8.8,124.89000000000001,16.0,19.530133928571427,7.5,7.375,124.58375,8,9,2,0,2,4.0,80.0
8.5,12.0,8.8,124.89000000000001,4.0,19.11173184357542,3.0,8.333333333333334,130.49444444444444,9,5,0,0,0,19.0,126.67
13.0,7.0,11.2,115.224,19.0,17.1787072243346,5.833333333333333,7.9,125.44500000000001,10,15,1,1,0,7.0,100.0
12.333333333333334,8.0,9.8,111.88999999999999,8.454545454545455,19.61134163208852,2.5,8.909090909090908,125.55636363636363,11,7,1,0,1,36.0,225.0
15.0,3.0,16.4,141.89000000000001,19.5,20.09861111111111,1.0,8.75,123.42666666666666,12,16,5,3,2,14.0,127.27
12.333333333333334,10.0,16.0,131.788,14.0,19.288100208768267,1.8333333333333333,10.846153846153847,131.23999999999998,13,11,1,0,1,5.0,71.43
12.0,16.0,16.2,130.074,8.454545454545455,19.61134163208852,2.0,11.071428571428571,130.95642857142857,14,7,1,0,1,13.0,144.44
12.333333333333334,12.0,15.0,133.62800000000001,14.0,17.72189349112426,8.333333333333334,10.666666666666666,126.988,15,9,1,1,0,15.0,187.5
12.0,10.5,16.6,151.12800000000001,14.0,17.72189349112426,8.0,10.8125,128.07875,16,8,2,1,1,22.0,275.0
12.333333333333334,7.5,13.8,161.12800000000001,22.0,19.662264150943397,5.5,11.058823529411764,131.57411764705884,17,8,3,2,1,6.0,100.0
15.0,19.5,12.2,155.67399999999998,8.454545454545455,19.61134163208852,7.5,11.666666666666666,139.54222222222222,18,6,1,0,1,17.0,113.33
13.5,10.0,14.6,164.054,8.454545454545455,19.61134163208852,3.6666666666666665,11.368421052631579,137.46105263157895,19,15,1,1,0,32.0,177.78
11.0,7.0,18.4,170.72199999999998,17.5,19.843718079673135,4.666666666666667,11.65,136.2545,20,18,5,3,2,13.0,144.44
8.5,4.0,18.0,162.10999999999999,8.454545454545455,19.61134163208852,9.5,12.619047619047619,138.23190476190476,21,9,1,1,0,2.0,66.67
0.0,11.0,0.0,0.0,0.0,19.61134163208852,2.0,12.173913043478262,135.3904347826087,0,1,0,0,0,4.0,66.67
2.0,2.0,2.0,40.0,5.666666666666667,19.11173184357542,2.0,2.0,33.335,0,5,0,0,0,24.0,96.0
17.5,4.0,13.0,68.0,24.0,19.61134163208852,4.5,2.0,40.0,1,25,3,0,3,13.0,72.22
13.0,17.5,13.0,69.40666666666667,5.666666666666667,19.11173184357542,1.0,13.0,68.0,2,18,2,0,2,1.0,25.0
1.0,13.0,10.0,58.305,1.0,19.321590909090908,2.5,13.0,69.40666666666667,3,4,0,0,0,2.0,66.67
2.0,1.0,8.4,59.977999999999994,5.666666666666667,19.11173184357542,5.0,10.0,58.305,4,3,0,0,0,11.0,55.0
6.0,4.0,6.0,300.0,6.0,19.61134163208852,2.0,8.833333333333334,59.14833333333333,0,2,1,1,0,15.0,125.0
15.0,2.0,10.5,212.5,9.5,19.843718079673135,5.0,6.0,300.0,1,12,1,0,1,4.0,66.67
24.0,16.0,24.0,96.0,24.0,15.17117117117117,5.166666666666667,8.333333333333334,163.89000000000001,0,25,3,1,2,22.0,157.14
22.0,24.0,23.0,126.57,22.0,19.232323232323232,1.6666666666666667,24.0,96.0,1,14,3,1,2,16.0,88.89
2.25,3.0,3.0,42.86,1.6666666666666667,19.843718079673135,0.5,20.666666666666668,114.00999999999999,0,7,0,0,0,0.0,0.0
2.25,3.0,1.5,21.43,0.0,19.662264150943397,1.0,3.0,42.86,1,1,0,0,0,8.0,100.0
8.0,2.25,3.6666666666666665,47.620000000000005,8.0,19.288100208768267,1.0,1.5,21.43,2,8,1,0,1,2.0,200.0
1.5,22.0,3.25,85.715,2.0,20.09861111111111,2.0,3.6666666666666665,47.620000000000005,3,1,0,0,0,1.0,20.0
1.5,2.0,2.8,72.572,4.0,19.232323232323232,1.5,3.25,85.715,4,5,0,0,0,1.0,100.0
1.3333333333333333,1.5,2.4,84.0,1.0,15.17117117117117,1.0,2.8,72.572,5,1,0,0,0,5.0,166.67
2.25,1.5,3.4,117.33399999999999,3.0,16.502024291497975,0.0,2.5,77.14333333333333,6,3,1,0,1,1.0,25.0
2.25,2.6666666666666665,2.0,102.33399999999999,3.0,16.502024291497975,2.25,2.857142857142857,89.93285714285715,7,4,0,0,0,7.0,116.67
3.0,1.0,3.0,85.66799999999999,4.0,19.232323232323232,3.6666666666666665,2.625,81.81625,8,6,1,0,1,1.0,100.0
1.3333333333333333,1.0,3.0,101.66799999999999,1.0,18.508474576271187,1.0,3.111111111111111,85.6888888888889,9,1,0,0,0,1.0,100.0
1.0,1.3333333333333333,3.0,101.66799999999999,1.6666666666666667,19.843718079673135,1.0,2.9,87.12,10,1,0,0,0,1.0,100.0
1.0,1.0,2.2,88.33399999999999,1.0,19.530133928571427,1.0,2.727272727272727,88.2909090909091,11,1,0,0,0,2.0,50.0
1.3333333333333333,1.0,2.4,93.33399999999999,2.0,15.222222222222221,1.5,2.5833333333333335,89.26666666666667,12,4,0,0,0,1.0,33.33
3.0,7.0,1.2,76.66600000000001,1.6666666666666667,19.843718079673135,1.0,2.5384615384615383,86.24615384615385,13,3,0,0,0,1.0,33.33
4.285714285714286,5.2,4.0,80.0,12.5,19.288100208768267,7.0,2.3333333333333335,79.19066666666666,0,5,0,0,0,31.0,96.88
7.75,0.0,17.5,88.44,10.2,19.11173184357542,1.85,4.0,80.0,1,32,3,0,3,2.0,40.0
4.285714285714286,4.0,12.333333333333334,72.29333333333334,7.0,19.321590909090908,4.0,17.5,88.44,2,5,0,0,0,0.0,0.0
4.285714285714286,3.0,9.25,54.22,4.333333333333333,19.884393063583815,2.75,12.333333333333334,72.29333333333334,3,4,0,0,0,11.0,137.5
7.333333333333333,8.0,9.6,70.876,11.0,18.508474576271187,3.0,9.25,54.22,4,8,2,1,1,2.0,66.67
1.5,7.333333333333333,9.2,68.21000000000001,2.0,16.502024291497975,1.5,9.6,70.876,5,3,0,0,0,13.0,325.0
9.11111111111111,7.75,5.6,113.83400000000002,4.333333333333333,19.884393063583815,4.25,8.333333333333334,70.175,6,4,2,1,1,0.0,0.0
